Cryptocurrency Name,Symbol,Current Price (USD),Market Cap,24h Trading Volume,24h Price Change (%)
Bitcoin,btc,65913.0,1302605702523,34162242584,0.74706
Ethereum,eth,2703.53,325484436047,16999231735,2.07822
Tether,usdt,0.9992,119262104629,57295528496,-0.05895
BNB,bnb,608.81,88893125095,1369349209,0.4006
Solana,sol,157.56,73917688745,3924916203,0.52156
USDC,usdc,0.998861,36220319368,7913829878,-0.08108
XRP,xrp,0.588135,33296583411,1381351115,-1.14032
Lido Staked Ether,steth,2702.42,26517631514,36694163,2.02942
Dogecoin,doge,0.124411,18193387731,1694772293,4.41368
Toncoin,ton,6.02,15284420279,477949842,3.03008
Cardano,ada,0.403771,14411653889,420754409,0.71358
TRON,trx,0.154956,13424067499,456542529,1.36848
Avalanche,avax,30.34,12323465808,515392200,4.20721
Shiba Inu,shib,2.033e-05,12046092097,2327930533,7.20121
Wrapped stETH,wsteth,3195.04,11246808653,90888517,2.00568
Wrapped Bitcoin,wbtc,65902.0,10077496391,153188751,0.77519
Chainlink,link,12.73,7980996098,499138271,0.57245
WETH,weth,2708.12,7805579673,752162213,2.1761
Bitcoin Cash,bch,360.58,7131386646,319881421,1.43424
Polkadot,dot,4.89,6937615693,215434126,1.13936
NEAR Protocol,near,5.45,6044163074,543962858,-4.55557
Uniswap,uni,7.59,5720529978,219731175,4.06237
Dai,dai,0.999243,5465909414,94114049,-0.04799
LEO Token,leo,5.83,5394521993,831464,-0.39129
Litecoin,ltc,70.2,5273217516,402173726,3.00775
Internet Computer,icp,9.77,4602729154,123760403,2.45288
Wrapped eETH,weeth,2837.06,4496152871,84262541,1.8035
Pepe,pepe,1.059e-05,4469792314,2470998072,10.04315
Sui,sui,1.66,4457089551,837907274,-4.42578
Artificial Superintelligence Alliance,fet,1.7,4448574505,438588553,1.69554
Kaspa,kas,0.169426,4199638599,61982524,2.89905
Aptos,apt,8.23,4128019918,249893645,0.47019
Bittensor,tao,539.3,3982145538,250950063,2.53483
POL (ex-MATIC),pol,0.435139,3213409011,109601299,1.04734
Ethereum Classic,etc,20.78,3095136411,168576999,2.65554
Monero,xmr,163.23,3004829294,50422011,-1.52117
Stacks,stx,2.0,2993690052,123262891,-2.61247
Stellar,xlm,0.098622,2924203707,69099721,-0.37689
Immutable,imx,1.81,2899257529,96650821,0.40633
First Digital USD,fdusd,0.995064,2813271989,4622132884,-0.22247
Render,render,6.69,2629030798,441966700,4.2738
OKB,okb,42.78,2565424869,5525287,0.89328
Ethena USDe,usde,0.998686,2548069506,37122537,0.0243
Aave,aave,170.38,2547806095,410344184,1.97057
Filecoin,fil,4.19,2465453336,243192662,1.76193
Optimism,op,1.9,2391364885,244551600,8.01857
Arbitrum,arb,0.65713,2379152079,397575664,3.26674
Cronos,cro,0.087723,2370115825,6709458,0.61305
Hedera,hbar,0.061406,2312805928,73553499,0.66874
Injective,inj,23.47,2294131932,163243519,0.62719
